Year,ID,habitat,sec,State,new.state
2013,1001_sh,Shelf,18,Interaction,Aggression
2013,1001_sh,Shelf,13,Movement,Rove
2013,1001_sh,Shelf,17,Interaction,Female
2013,1001_sh,Shelf,32,Movement,Rove
2013,1002_sh,Shelf,14,Movement,Rove
2013,1002_sh,Shelf,16,Movement,Rest
2013,1002_sh,Shelf,6,Interaction,Female
2013,1002_sh,Shelf,2,Movement,Rove
2013,1002_sh,Shelf,15,Movement,Rest
2013,1002_sh,Shelf,13,Movement,Rove
2013,1002_sh,Shelf,15,Movement,Rest
2013,1002_sh,Shelf,6,Movement,Rove
2013,1002_sh,Shelf,1,Interaction,Aggression
2013,1002_sh,Shelf,1,Interaction,Aggression
2013,1002_sh,Shelf,7,Movement,Rove
2013,1002_sh,Shelf,3,Interaction,Aggression
2013,1002_sh,Shelf,5,Movement,Rove
2013,1002_sh,Shelf,96,Movement,Rest
2013,1002_sh,Shelf,6,Interaction,Aggression
2013,1002_sh,Shelf,4,Movement,Rove
2013,1002_sh,Shelf,2,Interaction,Aggression
2013,1002_sh,Shelf,12,Movement,Rove
2013,1003_sh,Shelf,8,Movement,Rest
2013,1003_sh,Shelf,1,Interaction,Aggression
2013,1003_sh,Shelf,6,Movement,Rest
2013,1003_sh,Shelf,3,Movement,Rove
2013,1003_sh,Shelf,9,Interaction,Aggression
2013,1003_sh,Shelf,47,Movement,Rest
2013,1003_sh,Shelf,15,Movement,Rove
2013,1003_sh,Shelf,3,Interaction,Aggression
2013,1003_sh,Shelf,2,Movement,Rest
2013,1003_sh,Shelf,13,Interaction,Aggression
2013,1003_sh,Shelf,4,Interaction,Aggression
2013,1003_sh,Shelf,13,Interaction,Aggression
2013,1003_sh,Shelf,11,Movement,Rove
2013,1003_sh,Shelf,5,Interaction,Female
2013,1003_sh,Shelf,9,Interaction,Aggression
2013,1003_sh,Shelf,19,Movement,Rest
2013,1003_sh,Shelf,5,Interaction,Aggression
2013,1003_sh,Shelf,27,Movement,Rest
2013,1003_sh,Shelf,19,Interaction,Aggression
2013,1003_sh,Shelf,2,Interaction,Female
2013,1004_sh,Shelf,7,Movement,Rove
2013,1004_sh,Shelf,24,Movement,Rest
2013,1004_sh,Shelf,18,Movement,Rove
2013,1004_sh,Shelf,51,Movement,Rest
2013,1004_sh,Shelf,17,Interaction,Aggression
2013,1004_sh,Shelf,20,Movement,Rest
2013,1004_sh,Shelf,1,Movement,Rove
2013,1004_sh,Shelf,3,Interaction,Female
